"","lad2014_code","rr_80_84_m","rr_85_89_m","rr_90p_m","rr_80_84_f","rr_85_89_f","rr_90p_f"
"373","E07000010",1.01010101010101,1.22695035460993,1.08896321070234,1.17133641440401,1.09175358539765,1.00488922581579
"379","E07000011",0.943023873763388,1.00425349087003,1.13188405797101,1.07824568882393,0.979986657771848,1.2241690909559
"385","E07000012",0.821068548387097,1.1440157480315,1.00060231892787,1.05552932904781,1.17192604786628,1.07737799834574
"391","E07000026",1.09423174912988,1.06222639149468,1.00550148116801,0.902185159706259,1.4153547244207,1.34683627875172
"397","E07000027",0.811354838709678,0.775105442860012,1.46748183590289,0.874460186377756,0.838757763975155,1.30811526321149
"403","E07000028",1.00313471886262,1.32866344605475,1.10846062098419,1.48804780876494,1.28819333546258,1.24978860138677
"409","E07000029",0.943642027754177,0.814001657000828,1.03409090909091,1.64297092791716,1.04609297725025,1.32615249340535
"415","E07000030",0.909996170049789,1.57688338493292,1.38997493734336,1.46737492465341,0.719279661016949,1.33374384236453
"421","E07000031",0.752719421101774,0.796469791963522,1.05987244278684,0.907094861660079,1.11651741293532,1.17740274027403
"427","E07000032",0.867600135890382,0.993979591836735,1.05887547836326,1.09049919309112,1.04311552243693,1.11749554190608
"433","E07000033",1.09761545136099,0.742799167259599,1.42422535211268,1.10119047619048,0.929352793749079,1.07711282711283
"439","E07000034",1.04555912090573,1.04655147004642,1.15248387975661,0.985947177749211,1.2037037037037,1.07973055438201
"445","E07000035",1.02526331081572,0.927358445182085,0.757850368809273,1.1370479704797,1.02148366192041,1.17930024149337
"451","E07000036",0.928524590163935,1.22353891731753,1.12278829910198,1.11748900830484,1.05336322869955,1.16892012097492
"457","E07000037",1.38612046389824,1.20675287356322,1.375,0.990633934733314,1.19345661450925,1.66808823529412
"463","E07000038",0.868241556007088,1.19042545995671,1.19821766135566,1.4778972262479,1.49704200746446,1.06656840092423
"469","E07000039",1.00443458980044,1.31166328600406,1.0621766280107,1.37634346635931,1.09292808219178,1.54677145284622
"475","E07000040",1.03101998315921,1.07746612945213,1.29749204566723,1.04222431265233,0.926289926289926,1.09271721476338
"481","E07000041",0.941421690001351,0.941793588241559,1.421926910299,1.16014088136758,1.35062834390942,1.16877860551173
"487","E07000042",1.07914046121593,1.20503472222222,1.24253731343284,1.05551272166538,0.932030006819732,1.12886613326964
"493","E07000043",1.07529093097913,1.00092801272703,1.42196693751751,0.96990937095406,0.964441262454507,1.05975173574584
"499","E07000044",1.12420161358097,0.883097332643365,1.28615596015115,0.873501199040767,1.02988855116515,1.40252285451067
"505","E07000045",0.992571924603175,0.903422425697785,1.23411978221416,1.06312211433064,1.06580217658417,1.10012036327826
"511","E07000046",0.859085274520944,1.06747106623984,1.0719314355678,1.16070282658518,1.31402714932127,1.06305170239596
"517","E07000047",0.904242361417058,1.05597136348845,0.7875281260045,1.05789990186457,0.803571428571428,1.20680564644293
"523","E07000048",1.13039092055486,1.31587837837838,1.09187510781439,0.982788613600422,0.969600259641911,1.23433218309144
"529","E07000049",0.997963316818655,1.06751054852321,0.962061560486757,1.2721608461176,1.25137888198758,1.28904501691387
"535","E07000050",0.909320282101167,0.997576221456818,1.29044117647059,1.61614176947347,1.0498312846469,1.29617722544914
"541","E07000051",1.21082474226804,1.36351320839919,1.07625139608082,1.39960526315789,1.44024470176972,1.04859335038363
