"","lad2014_code","dorling_03","dorling_04","dorling_05","dorling_06","dorling_07","dorling_08","dorling_09","dorling_10","dorling_11","dorling_12","dorling_13","dorling_14","dorling_15"
"274","E08000017",4,2,3,0,3,1,0,1,1,5,3,0,3
"275","E08000018",1,4,2,1,1,4,2,0,1,4,2,0,5
"276","E08000019",3,1,2,0,2,2,2,0,0,0,2,1,4
"277","E08000021",1,2,2,1,1,4,1,1,3,1,3,2,5
"278","E08000022",0,3,2,2,2,2,3,0,2,2,4,0,5
"279","E08000023",2,5,2,4,0,4,2,0,5,1,3,1,5
"280","E08000024",3,1,2,1,4,3,3,1,1,3,3,1,3
"281","E08000025",2,1,1,0,1,0,0,0,0,0,2,0,4
"282","E08000026",4,1,1,3,0,1,2,1,2,1,3,1,5
"283","E08000027",2,0,3,0,3,1,4,0,1,0,3,0,5
"284","E08000028",3,1,1,2,4,0,2,2,1,2,4,0,5
"285","E08000029",4,2,0,1,0,1,5,3,2,1,5,0,2
"286","E08000030",3,0,1,3,2,1,4,0,1,1,3,0,5
"287","E08000031",4,2,3,1,1,2,3,1,4,1,4,0,5
"288","E08000032",2,1,2,0,1,3,1,1,2,2,2,0,5
"289","E08000033",2,3,4,0,5,0,2,0,3,1,2,1,5
"290","E08000034",1,2,0,1,1,0,2,0,1,4,0,0,3
"291","E08000035",1,0,0,0,2,2,1,0,3,1,3,0,3
"292","E08000036",2,3,2,1,3,1,0,1,2,2,2,0,5
"293","E08000037",3,5,2,0,2,5,1,2,3,2,5,1,3
"294","E09000001",5,4,1,5,4,1,4,5,0,1,0,2,0
"295","E09000002",4,5,2,1,2,2,5,2,0,5,4,0,5
"296","E09000003",1,2,0,0,3,3,4,0,1,1,2,1,4
"297","E09000004",4,1,2,0,1,3,3,0,1,4,2,0,5
"298","E09000005",4,1,4,2,1,5,3,2,4,2,4,0,5
"299","E09000006",2,3,1,0,2,4,1,1,1,1,0,1,4
"300","E09000007",5,4,1,1,4,4,2,4,0,2,5,1,4
"301","E09000008",2,2,2,1,1,5,3,1,2,2,1,0,5
"302","E09000009",1,3,1,3,1,4,5,2,1,2,1,1,5
"303","E09000010",3,1,2,3,1,1,4,4,0,4,1,2,5
"304","E09000011",4,4,3,1,2,2,2,4,1,2,2,1,4
"305","E09000012",4,3,1,5,2,1,5,2,4,2,4,1,5
"306","E09000013",5,2,4,2,4,5,2,5,4,4,1,5,5
"307","E09000014",5,1,0,2,4,3,0,4,1,4,1,5,5
"308","E09000015",5,0,4,0,3,2,1,4,2,5,1,1,5
"309","E09000016",2,0,0,3,0,3,4,1,1,5,4,0,5
"310","E09000017",1,3,1,2,4,5,3,0,4,2,1,0,5
"311","E09000018",4,4,1,3,1,4,0,4,3,2,1,1,5
"312","E09000019",3,3,5,1,4,5,1,1,0,5,2,4,5
"313","E09000020",5,2,5,4,4,3,4,5,4,4,5,1,5
"314","E09000021",1,4,0,1,3,2,1,1,1,5,4,2,5
"315","E09000022",5,1,2,1,4,5,5,1,4,3,3,1,5
"316","E09000023",5,4,2,1,4,4,1,1,4,1,4,1,3
"317","E09000024",3,4,1,3,4,2,4,2,1,5,2,4,4
"318","E09000025",4,3,5,2,2,5,4,0,0,5,5,3,5
"319","E09000026",2,5,4,0,1,1,4,0,1,3,3,1,4
"320","E09000027",3,2,2,2,2,1,4,3,4,2,4,0,5
"321","E09000028",3,5,4,0,1,4,4,4,2,2,5,1,4
"322","E09000029",4,5,0,4,0,5,1,1,1,5,1,2,3
"323","E09000030",4,2,4,4,4,0,5,3,4,5,3,1,5
"324","E09000031",5,0,4,0,5,1,4,0,1,5,1,2,5
"325","E09000032",2,3,1,1,4,4,2,3,0,1,2,2,4
"326","E09000033",3,5,2,5,4,4,1,5,2,3,5,0,5
"327","W06000001",5,4,4,2,4,2,5,5,2,4,4,4,5
"328","W06000002",4,3,2,1,1,5,2,3,0,1,5,0,5
"329","W06000003",4,1,4,1,3,1,4,0,0,4,2,4,5
"330","W06000004",3,5,2,1,2,2,4,1,4,0,3,4,5
"331","W06000005",2,5,3,0,0,5,1,2,1,4,5,0,5
"332","W06000006",2,4,4,2,4,2,4,3,1,2,4,2,5
"333","W06000008",1,5,4,0,4,4,3,2,5,0,5,1,5
"334","W06000009",4,1,2,2,1,1,4,2,2,4,3,1,4
"335","W06000010",3,1,1,1,1,1,2,1,1,3,1,0,4
"336","W06000011",2,2,2,0,1,0,2,0,2,1,4,0,5
"337","W06000012",5,3,1,0,3,0,3,2,4,2,2,2,3
"338","W06000013",4,1,4,4,2,4,2,3,4,4,2,1,4
"339","W06000014",4,4,1,5,1,4,2,1,3,2,5,2,5
"340","W06000015",3,1,4,0,0,3,2,0,2,1,3,0,5
"341","W06000016",4,1,2,2,4,2,2,0,2,1,4,0,2
"342","W06000018",4,2,4,0,1,5,2,0,4,1,5,1,5
"343","W06000019",1,5,1,1,3,5,2,2,5,1,5,0,5
"344","W06000020",5,2,2,5,1,4,4,2,5,4,3,0,5
"345","W06000021",0,5,2,5,4,1,4,4,2,4,5,4,1
"346","W06000022",5,1,5,1,2,3,2,4,5,5,5,4,3
"347","W06000023",1,2,2,2,2,3,1,2,2,1,5,0,4
"348","W06000024",4,2,5,1,5,5,0,5,5,1,5,5,4
