"","lad2014_code","adjrr_80_84_m","adjrr_85_89_m","adjrr_90p_m","adjrr_80_84_f","adjrr_85_89_f","adjrr_90p_f"
"289","E06000050",0.976071102310332,0.950670006153864,1.13121532665397,1.14699199497094,1.10191300113708,1.21471965187204
"295","E06000051",0.900131219976456,0.856609916201019,1.10941619585687,1.22291642810878,0.998823239230465,1.15198582171296
"301","E06000052",1.05273715339071,1.10808588354998,1.10834770610555,0.991262942805563,1.10405364664457,1.17680924146924
"307","E06000053",0,0.8,NA,0,1.8,1.56818181818182
"313","E06000054",1.12654285860218,1.2954369402303,1.08472090414977,1.14963914642872,1.04629909124621,1.18578894317454
"319","E06000055",0.992841275862695,1.08276134516172,1.27879762493815,1.43108561803749,0.849934044073321,1.2396884272997
"325","E06000056",1.09726718231162,1.12293044355631,1.050496,1.19442273875552,0.948825924804358,1.10864126984127
"331","E06000057",1.12279133847997,1.10090197113643,1.15906805229635,1.19857468818798,1.07592091476522,1.23312280484956
"337","E07000004",1.00234675379879,1.26312719982543,1.28487348458172,1.1457507401643,1.12606249849206,1.10950137140446
"343","E07000005",0.910118772565522,0.899513614546529,1.2128124702975,1.07199326828693,0.907938389759141,0.912949921752739
"349","E07000006",1.08232424806263,1.05930502314165,1.17124183006536,1.53302075287026,1.27344632649152,1.61015211640212
"355","E07000007",1.18323149137076,0.944739532470783,1.36439888164026,1.13410667002837,1.22648324265291,1.20758811263499
"361","E07000008",1.57229839938572,0.927009380271919,1.39473684210526,1.14372930436144,1.04466007223035,1.32564925590896
"367","E07000009",0.928027643868114,1.66181796447531,0.835862068965517,1.23466118949632,1.2527671601457,1.17398002549936
"373","E07000010",0.97801160020938,1.60997019388073,1.08896321070234,1.24869118179177,1.15922914484247,1.00488922581579
"379","E07000011",1.02150453170805,1.05239181573249,1.13188405797101,1.14878698178772,0.984914006971583,1.2241690909559
"385","E07000012",0.879654196726343,1.20997787687353,1.00060231892787,1.08398271740838,1.25374809595625,1.07737799834574
"391","E07000026",1.0926952843962,1.16791695731365,1.00550148116801,0.923088072181026,1.68646653550012,1.34683627875172
"397","E07000027",0.860707224748012,1.0350987127989,1.46748183590289,0.971662577136326,1.0837454840297,1.30811526321149
"403","E07000028",0.995487636888455,1.49486269970635,1.10846062098419,1.53935883252169,1.36733732510133,1.24978860138677
"409","E07000029",0.976330749654218,0.837612420944595,1.03409090909091,1.72376700018269,1.50932761190315,1.32615249340535
"415","E07000030",0.974717253275424,1.79711789765912,1.38997493734336,1.77082935638393,0.768676107985473,1.33374384236453
"421","E07000031",0.780538988892776,0.820895798818012,1.05987244278684,0.988786280991851,1.12183457189854,1.17740274027403
"427","E07000032",0.896157914171654,1.02728499516424,1.05887547836326,1.12439817873093,1.04822989314223,1.11749554190608
"433","E07000033",1.1660911468414,0.80025182379349,1.42422535211268,1.26698934699246,0.930412715640589,1.07711282711283
